frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
2,3.0,[470.971435546875 888.3231811523438 595.2266235351562 937.1054077148438],[470.971435546875 888.3231811523438 595.2266235351562 937.1054077148438],0.6010329723358154,NA13MRU,0.5108021014825779
5,5.0,[1211.546875 793.55322265625 1292.100341796875 828.0826416015625],[1211.546875 793.55322265625 1292.100341796875 828.0826416015625],0.5923193693161011,MI51VSW,0.0702969358911329
6,3.0,[490.86474609375 909.7095947265625 591.5167236328125 949.3914794921875],[490.86474609375 909.7095947265625 591.5167236328125 949.3914794921875],0.6210048198699951,NA13NRU,0.37024034982012743
10,5.0,[1213.5814208984375 804.8633422851562 1295.6226806640625 845.3318481445312],[1213.5814208984375 804.8633422851562 1295.6226806640625 845.3318481445312],0.6191530823707581,MO51YSU,0.14758676017164635
16,3.0,[464.55487060546875 944.0233154296875 583.1273193359375 990.9521484375],[464.55487060546875 944.0233154296875 583.1273193359375 990.9521484375],0.587733268737793,NA13MPU,0.438819513174127
18,3.0,[455.5549621582031 955.6759033203125 574.6005859375 1000.75537109375],[455.5549621582031 955.6759033203125 574.6005859375 1000.75537109375],0.6132276058197021,NA13NRU,0.7812946662655313
21,3.0,[459.9418029785156 967.8806762695312 573.868408203125 1014.9113159179688],[459.9418029785156 967.8806762695312 573.868408203125 1014.9113159179688],0.5934325456619263,NA13NRU,0.6668988041699646
22,6.0,[688.7691040039062 661.1322021484375 765.973876953125 700.643798828125],[688.7691040039062 661.1322021484375 765.973876953125 700.643798828125],0.4180862605571747,LX15OCJ,0.10552567609813582
24,3.0,[452.920654296875 981.5670776367188 556.586181640625 1026.24072265625],[452.920654296875 981.5670776367188 556.586181640625 1026.24072265625],0.5958226323127747,NA13NRU,0.4875290462973583
25,3.0,[446.79449462890625 985.2130737304688 569.975341796875 1031.8736572265625],[446.79449462890625 985.2130737304688 569.975341796875 1031.8736572265625],0.615185022354126,NA13NPU,0.49933781660068655
25,6.0,[684.7222290039062 664.4293212890625 758.1239013671875 706.4800415039062],[684.7222290039062 664.4293212890625 758.1239013671875 706.4800415039062],0.3688396215438843,GI15OCJ,0.1327278618897666
26,3.0,[448.0053405761719 991.2295532226562 568.609619140625 1038.889404296875],[448.0053405761719 991.2295532226562 568.609619140625 1038.889404296875],0.6267192959785461,NA13NRU,0.26203263197294163
27,3.0,[446.81341552734375 994.55859375 563.2362060546875 1044.7364501953125],[446.81341552734375 994.55859375 563.2362060546875 1044.7364501953125],0.6638455986976624,NA13NPU,0.3757035579734238
28,3.0,[447.45513916015625 998.9635009765625 552.272216796875 1043.289306640625],[447.45513916015625 998.9635009765625 552.272216796875 1043.289306640625],0.5984907746315002,NA13MRU,0.13077233920186346
28,5.0,[1224.9859619140625 861.9069213867188 1312.242431640625 900.6236572265625],[1224.9859619140625 861.9069213867188 1312.242431640625 900.6236572265625],0.588066577911377,WI75ISU,0.05328835555602093
33,3.0,[439.433349609375 1025.1318359375 551.1813354492188 1071.0418701171875],[439.433349609375 1025.1318359375 551.1813354492188 1071.0418701171875],0.6347306370735168,NA13MRU,0.18831647716817806
37,6.0,[681.162841796875 695.3955078125 751.7257080078125 731.8017578125],[681.162841796875 695.3955078125 751.7257080078125 731.8017578125],0.3475005626678467,GI15OSJ,0.24509825874320995
45,6.0,[665.4113159179688 719.1415405273438 741.848876953125 756.5599365234375],[665.4113159179688 719.1415405273438 741.848876953125 756.5599365234375],0.5552298426628113,GI15OGJ,0.2082984331447186
48,6.0,[668.3272705078125 724.066650390625 740.1248779296875 760.02490234375],[668.3272705078125 724.066650390625 740.1248779296875 760.02490234375],0.6396439671516418,GX15OCJ,0.4096890599518572
49,5.0,[1238.8076171875 940.4373779296875 1334.917724609375 982.346923828125],[1238.8076171875 940.4373779296875 1334.917724609375 982.346923828125],0.6086170077323914,NW51VSU,0.21765305660763334
50,6.0,[664.473876953125 727.32763671875 742.4105224609375 773.9716186523438],[664.473876953125 727.32763671875 742.4105224609375 773.9716186523438],0.5955743193626404,GY15OGJ,0.2744735045860226
56,6.0,[655.4158935546875 741.9129638671875 736.029541015625 781.7904052734375],[655.4158935546875 741.9129638671875 736.029541015625 781.7904052734375],0.5775904059410095,GI15OGJ,0.16597981561995886
57,5.0,[1249.366943359375 971.9884643554688 1348.7509765625 1017.9127807617188],[1249.366943359375 971.9884643554688 1348.7509765625 1017.9127807617188],0.6640352010726929,MI51VSV,0.11952155447917799
58,6.0,[656.3209228515625 746.1535034179688 741.7301025390625 784.4353637695312],[656.3209228515625 746.1535034179688 741.7301025390625 784.4353637695312],0.6230472326278687,IG15OCJ,0.4796344344368299
